time,open,high,low,close,volume
2023-04-11 11:30:00,8.5493,8.55,8.51,8.518,333098
2023-04-11 11:35:00,8.515,8.53,8.5,8.51,274209
2023-04-11 11:40:00,8.5,8.505,8.45,8.465,262646
2023-04-11 11:45:00,8.47,8.5,8.47,8.4999,204667
2023-04-11 11:50:00,8.5,8.52,8.475,8.515,418084
2023-04-11 11:55:00,8.515,8.56,8.515,8.535,283318
2023-04-11 12:00:00,8.54,8.55,8.5001,8.515,219931
2023-04-11 12:05:00,8.52,8.57,8.52,8.565,327824
2023-04-11 12:10:00,8.561,8.57,8.5401,8.56,227361
2023-04-11 12:15:00,8.56,8.59,8.5533,8.585,189826
2023-04-11 12:20:00,8.585,8.585,8.552,8.575,189013
2023-04-11 12:25:00,8.5771,8.5899,8.5601,8.575,205883
2023-04-11 12:30:00,8.5701,8.575,8.55,8.565,186689
2023-04-11 12:35:00,8.565,8.58,8.552,8.5599,176702
2023-04-11 12:40:00,8.555,8.56,8.5215,8.545,304323
2023-04-11 12:45:00,8.545,8.57,8.5338,8.565,298962
2023-04-11 12:50:00,8.57,8.59,8.5696,8.59,236535
